alias_id,canonical_id,reason
ADOC-006,STD-001,same_normalized_url
ADOC-007,STD-002,same_normalized_url
ADOC-012,MED-011,same_normalized_url
AI-008,BUS-018,same_normalized_url
BURDEN-014,BUR-004,same_normalized_url
COMP-009,BUS-001,same_normalized_url
ASSOC-025,STD-001,same_normalized_url
ASSOC-026,STD-002,same_normalized_url
STAND-017,STD-004,same_normalized_url
M1-04,MED-015,same_normalized_url
M1-05,MED-016,same_normalized_url
M1-07,ADOC-015,same_normalized_url
M1-08,MED-001,same_normalized_url
M1-09,MED-002,same_normalized_url
M1-10,MED-003,same_normalized_url
M2-08,REG-004,same_normalized_url
M3-03,GOV-001,same_normalized_url
